"id","region","city","area","NO2","PM2.5","PM10","incomePerCapita","healthExpenditure","density"
"03","Lombardia","Varese",23863.0973,34.0814049586777,19.4783333333333,24.7561983471074,22.94,972,421.5954817
"03","Lombardia","Varese",23863.0973,31.1719298245614,23.3133333333333,29.6898305084746,22.94,972,421.5954817
"03","Lombardia","Varese",23863.0973,31.0102127659574,21.2,26.8008333333333,22.94,972,421.5954817
"03","Lombardia","Varese",23863.0973,27.5142857142857,19.3036363636364,24.4117117117117,22.94,972,421.5954817
"03","Lombardia","Vigevano",23863.0973,22.8809917355372,NA,28.5093220338983,22.94,972,421.5954817
"03","Lombardia","Vigevano",23863.0973,23.335,NA,34.0508333333333,22.94,972,421.5954817
"03","Lombardia","Vigevano",23863.0973,23.8118644067797,NA,32.6121739130435,22.94,972,421.5954817
"03","Lombardia","Vigevano",23863.0973,21.503,NA,27.8324561403509,22.94,972,421.5954817
"11","Marche","Ancona",9401.1839,19.3305555555556,10.2816513761468,23.062037037037,19.16,1165,162.2424384
"11","Marche","Ancona",9401.1839,15.2625,14.9393617021277,25.2381818181818,19.16,1165,162.2424384
"11","Marche","Ancona",9401.1839,15.003738317757,10.5952830188679,21.0313043478261,19.16,1165,162.2424384
"11","Marche","Ancona",9401.1839,21.4819277108434,NA,NA,19.16,1165,162.2424384
"11","Marche","Pesaro",9401.1839,20.5710280373832,13.9987012987013,28.3628571428571,19.16,1165,162.2424384
"11","Marche","Pesaro",9401.1839,25.0287128712871,16.385593220339,32.4309734513274,19.16,1165,162.2424384
"11","Marche","Pesaro",9401.1839,16.4565789473684,12.1145631067961,20.9193277310924,19.16,1165,162.2424384
"11","Marche","Pesaro",9401.1839,29.1403225806452,14.0181818181818,29.9333333333333,19.16,1165,162.2424384
"14","Molise","Campobasso",4460.4373,26.0626436781609,NA,11.8691588785047,14.68,1063,68.51727296
"14","Molise","Campobasso",4460.4373,15.165,NA,19.0393258426966,14.68,1063,68.51727296
"14","Molise","Campobasso",4460.4373,33.4123919308357,NA,16.4356435643564,14.68,1063,68.51727296
"14","Molise","Campobasso",4460.4373,18.7833333333333,NA,10.1222222222222,14.68,1063,68.51727296
"21","P.A. Bolzano","Bolzano",7397.8574,33.9061111111111,NA,14.7330578512397,26.03,1646,71.80160028
"21","P.A. Bolzano","Bolzano",7397.8574,35.8013966480447,NA,18.7220338983051,26.03,1646,71.80160028
"21","P.A. Bolzano","Bolzano",7397.8574,35.3568452380952,NA,18.1808333333333,26.03,1646,71.80160028
"22","P.A. Trento","Trento",6206.8637,39.096694214876,13.1596638655462,19.2851239669421,21.92,1259,87.17736141
"22","P.A. Trento","Trento",6206.8637,41.3852320675106,16.9380530973451,24.2226890756303,21.92,1259,87.17736141
"22","P.A. Trento","Trento",6206.8637,39.4991666666667,13.9130434782609,21.5083333333333,21.92,1259,87.17736141
"22","P.A. Trento","Trento",6206.8637,36.5867403314917,10.96,16.660773480663,21.92,1259,87.17736141
"01","Piemonte","Asti",25386.6971,32.4429166666667,NA,23.2444444444444,21.02,1138,171.6019214
"01","Piemonte","Asti",25386.6971,36.6464912280702,NA,29.536170212766,21.02,1138,171.6019214
"01","Piemonte","Asti",25386.6971,29.3854166666667,NA,30.3175355450237,21.02,1138,171.6019214
"01","Piemonte","Asti",25386.6971,28.099375,NA,NA,21.02,1138,171.6019214
"01","Piemonte","Biella",25386.6971,18.2954022988506,11.1858407079646,17.1186440677966,21.02,1138,171.6019214
"01","Piemonte","Biella",25386.6971,16.8669724770642,15.45,21.5982905982906,21.02,1138,171.6019214
"01","Piemonte","Biella",25386.6971,22.2745614035088,14.3931623931624,19.4310344827586,21.02,1138,171.6019214
"01","Piemonte","Biella",25386.6971,17.8602564102564,NA,NA,21.02,1138,171.6019214
"01","Piemonte","Novara",25386.6971,37.4380165289256,14.3949579831933,21.6465517241379,21.02,1138,171.6019214
"01","Piemonte","Novara",25386.6971,39.5108786610879,20.4285714285714,30.4810126582278,21.02,1138,171.6019214
"01","Piemonte","Novara",25386.6971,36.1581395348837,16.9583333333333,25.6302521008403,21.02,1138,171.6019214
"01","Piemonte","Novara",25386.6971,32.2625,NA,NA,21.02,1138,171.6019214
"01","Piemonte","Torino",25386.6971,45.7801670146138,18.691935483871,27.4888392857143,21.02,1138,171.6019214
"01","Piemonte","Torino",25386.6971,53.9688311688312,24.9042296072508,34.529284164859,21.02,1138,171.6019214
"01","Piemonte","Torino",25386.6971,46.8112128146453,22.8197278911565,30.9512761020882,21.02,1138,171.6019214
"01","Piemonte","Torino",25386.6971,44.6025,NA,NA,21.02,1138,171.6019214
"16","Puglia","Bari",19540.5181,29.802846975089,14.0601895734597,24.8861471861472,14.34,1013,206.1896711
"16","Puglia","Bari",19540.5181,27.9914448669202,14.3604938271605,24.338024691358,14.34,1013,206.1896711
"16","Puglia","Bari",19540.5181,25.0275334608031,14.7424778761062,25.008904109589,14.34,1013,206.1896711
"16","Puglia","Bari",19540.5181,13.94140625,14.112,24.4301369863014,14.34,1013,206.1896711
"16","Puglia","Barletta",19540.5181,19.2611570247934,10.5469387755102,20.8333333333333,14.34,1013,206.1896711
"16","Puglia","Barletta",19540.5181,17.6467289719626,12.7385964912281,22.2934579439252,14.34,1013,206.1896711
"16","Puglia","Barletta",19540.5181,19.9761467889908,12.887962962963,22.5083333333333,14.34,1013,206.1896711
"16","Puglia","Barletta",19540.5181,9.74634146341463,11.5184210526316,21.8973684210526,14.34,1013,206.1896711
"16","Puglia","Foggia",19540.5181,22.3773109243697,12.6572727272727,24.1971698113208,14.34,1013,206.1896711
"16","Puglia","Foggia",19540.5181,23.1117647058824,13.2763636363636,21.6396226415094,14.34,1013,206.1896711
"16","Puglia","Foggia",19540.5181,25.2736842105263,12.2859649122807,21.85,14.34,1013,206.1896711
"16","Puglia","Foggia",19540.5181,10.5428571428571,12.6044642857143,22.325,14.34,1013,206.1896711
"16","Puglia","Lecce",19540.5181,18.95125,11.7892703862661,24.4183406113537,14.34,1013,206.1896711
"16","Puglia","Lecce",19540.5181,20.7712264150943,11.790990990991,19.7035242290749,14.34,1013,206.1896711
"16","Puglia","Lecce",19540.5181,25.5808823529412,12.0973214285714,25.2446902654867,14.34,1013,206.1896711
"16","Puglia","Lecce",19540.5181,10.7879746835443,11.3923444976077,21.156338028169,14.34,1013,206.1896711
"16","Puglia","Taranto",19540.5181,14.2838616714697,10.6478260869565,21.8835694050991,14.34,1013,206.1896711
"16","Puglia","Taranto",19540.5181,14.6775757575758,10.2610169491525,19.1553008595989,14.34,1013,206.1896711
"16","Puglia","Taranto",19540.5181,13.7511976047904,9.89196428571429,22.1371014492754,14.34,1013,206.1896711
"16","Puglia","Taranto",19540.5181,6.13510204081633,10.7145454545455,20.6596385542169,14.34,1013,206.1896711
"20","Sardegna","Cagliari",24099.453,30.3372881355932,12.7093220338983,28.7221238938053,15.55,1364,68.03436576
"20","Sardegna","Cagliari",24099.453,33.6777777777778,14.7118644067797,31.7,15.55,1364,68.03436576
"20","Sardegna","Cagliari",24099.453,29.9681415929204,16.7275229357798,31.3589743589744,15.55,1364,68.03436576
"20","Sardegna","Cagliari",24099.453,26.3719512195122,NA,NA,15.55,1364,68.03436576
"20","Sardegna","Sassari",24099.453,22.7912133891213,5.15702479338843,21.036974789916,15.55,1364,68.03436576
"20","Sardegna","Sassari",24099.453,23.8303964757709,6.55897435897436,21.531981981982,15.55,1364,68.03436576
"20","Sardegna","Sassari",24099.453,25.9772428884026,6.06153846153846,18.7627450980392,15.55,1364,68.03436576
"20","Sardegna","Sassari",24099.453,15.933125,NA,NA,15.55,1364,68.03436576
"19","Sicilia","Catania",25832.5454,34.7417721518987,NA,27.54329004329,13.64,989,193.5500711
"19","Sicilia","Catania",25832.5454,32.6040540540541,NA,24.162443438914,13.64,989,193.5500711
"19","Sicilia","Catania",25832.5454,32.2162561576355,NA,27.7617777777778,13.64,989,193.5500711
"19","Sicilia","Messina",25832.5454,37.1694214876033,NA,27.0082644628099,13.64,989,193.5500711
"19","Sicilia","Messina",25832.5454,34.2769230769231,NA,22.5800847457627,13.64,989,193.5500711
"19","Sicilia","Messina",25832.5454,28.7394495412844,NA,25.2502202643172,13.64,989,193.5500711
"19","Sicilia","Palermo",25832.5454,41.2147810218978,NA,33.1955223880597,13.64,989,193.5500711
"19","Sicilia","Palermo",25832.5454,37.6600343053173,NA,30.0594684385382,13.64,989,193.5500711
"19","Sicilia","Palermo",25832.5454,37.1435222672065,10.8161290322581,32.6184615384615,13.64,989,193.5500711
"19","Sicilia","Siracusa",25832.5454,18.8415954415954,NA,31.0348583877996,13.64,989,193.5500711
"19","Sicilia","Siracusa",25832.5454,18.9015584415584,NA,24.8115463917526,13.64,989,193.5500711
"19","Sicilia","Siracusa",25832.5454,15.3461215932914,NA,29.7258823529412,13.64,989,193.5500711
"09","Toscana","Carrara",22987.4371,17.4133333333333,NA,19.2605042016807,20.64,1252,162.2469257
"09","Toscana","Carrara",22987.4371,17.1663716814159,NA,20.045871559633,20.64,1252,162.2469257
"09","Toscana","Carrara",22987.4371,15.5703389830508,NA,18.4322033898305,20.64,1252,162.2469257
"09","Toscana","Carrara",22987.4371,14.1065934065934,NA,17.4433962264151,20.64,1252,162.2469257
